import time: self [us] | cumulative | imported package
import time:       824 |        824 |   _io
import time:        29 |         29 |   marshal
import time:       546 |        546 |   posix
import time:       715 |       2113 | _frozen_importlib_external
import time:       539 |        539 |   time
import time:       350 |        889 | zipimport
import time:        57 |         57 |     _codecs
import time:       621 |        677 |   codecs
import time:       620 |        620 |   encodings.aliases
import time:       839 |       2135 | encodings
import time:       328 |        328 | encodings.utf_8
import time:        62 |         62 | _signal
import time:        28 |         28 |     _abc
import time:       161 |        188 |   abc
import time:       175 |        362 | io
import time:       258 |        258 |       _stat
import time:        78 |        336 |     stat
import time:       792 |        792 |     _collections_abc
import time:       107 |        107 |       errno
import time:        63 |         63 |       genericpath
import time:       268 |        436 |     posixpath
import time:       737 |       2300 |   os
import time:        83 |         83 |   _sitebuiltins
import time:       372 |        372 |   sitecustomize
import time:       989 |       3744 | site
import time:       425 |        425 | linecache
import time:       460 |        460 |     types
import time:      3144 |       3144 |     _ctypes
import time:      2248 |       2248 |       _struct
import time:       316 |       2563 |     struct
import time:       541 |        541 |     ctypes._endian
import time:      1242 |       7947 |   ctypes
import time:       130 |        130 |       itertools
import time:       287 |        287 |       keyword
import time:       250 |        250 |         _operator
import time:       427 |        677 |       operator
import time:       350 |        350 |       reprlib
import time:        49 |         49 |       _collections
import time:       917 |       2407 |     collections
import time:        37 |         37 |     _functools
import time:       993 |       3436 |   functools
import time:       704 |        704 |     contextlib
import time:      1440 |       1440 |       enum
import time:       345 |        345 |         _sre
import time:       382 |        382 |           re._constants
import time:       726 |       1107 |         re._parser
import time:       244 |        244 |         re._casefix
import time:       596 |       2292 |       re._compiler
import time:       306 |        306 |       copyreg
import time:       797 |       4833 |     re
import time:       294 |        294 |     fnmatch
import time:       667 |       6497 |   glob
import time:       359 |        359 |   importlib
import time:      1147 |       1147 |       _ast
import time:      1240 |       2386 |     ast
import time:       828 |        828 |         _opcode
import time:       353 |        353 |         _opcode_metadata
import time:       353 |       1534 |       opcode
import time:      1006 |       2539 |     dis
import time:        70 |         70 |     importlib.machinery
import time:       328 |        328 |       token
import time:       208 |        208 |       _tokenize
import time:       996 |       1531 |     tokenize
import time:       372 |        372 |       _weakrefset
import time:       608 |        979 |     weakref
